promoter_name	chr	start	end
NR_146056.2	1	76539431	76540430
NM_005482.3	1	77685116	77686115
NM_001393349.1	1	81770817	81771816
NM_001366008.2	1	81770817	81771816
NM_001366004.2	1	81770817	81771816
NM_001366003.2	1	81770817	81771816
NM_001134445.2	1	86043884	86044883
NM_012128.4	1	87011761	87012760
NR_024602.2	1	87011761	87012760
NR_110682.1	1	89150888	89151887
NM_032270.5	1	90097679	90098678
NM_001252273.2	1	93427020	93428019
NM_001252271.2	1	93342708	93343707
NM_001006605.5	1	93427020	93428019
NM_001252270.2	1	93427020	93428019
NM_001252269.2	1	93427020	93428019
NM_002061.4	1	94374987	94375986
NM_001308253.2	1	94374987	94375986
NR_168377.1	1	95390916	95391915
NR_168376.1	1	95390916	95391915
NR_033998.1	1	95392584	95393583
NR_125991.1	1	96456624	96457623
NM_014917.4	1	107681710	107682709
NM_001372167.1	1	107681710	107682709
NM_001312688.2	1	107681710	107682709
NM_001372168.1	1	107682661	107683660
NM_001372166.1	1	107682661	107683660
NM_001113226.3	1	107682661	107683660
NM_001330665.2	1	107682661	107683660
NM_001372169.1	1	107682661	107683660
NM_001372171.1	1	107682957	107683956
NM_001372170.1	1	107682957	107683956
NM_001113228.3	1	107682957	107683956
NM_006496.4	1	110090237	110091236
NM_001204269.2	1	111174063	111175062
NM_001370216.2	1	112083631	112084630
NM_002884.4	1	112161411	112162410
NM_001370217.2	1	112161411	112162410
NM_001010935.3	1	112161411	112162410
NM_001394066.1	1	112161411	112162410
NM_001291896.3	1	112161411	112162410
NM_001042679.2	1	113249561	113250560
NM_175744.5	1	113249750	113250749
NM_001042678.2	1	113250031	113251030
NM_001323044.2	1	114302109	114303108
NM_006608.3	1	114302109	114303108
NM_001323041.2	1	114302109	114303108
NM_001323045.2	1	114302109	114303108
NM_001323043.2	1	114302109	114303108
NM_001323046.2	1	114302109	114303108
NM_001323042.2	1	114302511	114303510
NR_136564.2	1	114302109	114303108
NR_136566.2	1	114302109	114303108
NR_136567.2	1	114302109	114303108
NR_136565.2	1	114302109	114303108
NM_001323049.2	1	114302109	114303108
NM_001323047.2	1	114302109	114303108
NM_001323050.2	1	114302109	114303108
NM_001323048.2	1	114302109	114303108
NR_136568.2	1	114302109	114303108
NM_001323051.2	1	114302109	114303108
NM_001323053.2	1	114302109	114303108
NM_001323052.2	1	114302109	114303108
NM_006784.3	1	118471362	118472361
NM_024408.4	1	120612277	120613276
NM_001200001.2	1	120612277	120613276
NM_001388367.1	1	144592688	144593687
NM_001388374.1	1	144592688	144593687
NM_001388377.1	1	144592688	144593687
NM_001388375.1	1	144592688	144593687
NM_001388383.1	1	144592688	144593687
NM_001388379.1	1	144592688	144593687
NM_001388369.1	1	144592688	144593687
NM_001388372.1	1	144592688	144593687
NM_001388382.1	1	144592688	144593687
NM_001277444.2	1	144592688	144593687
NM_001388384.1	1	144592688	144593687
NM_001388370.1	1	144592688	144593687
NM_001388381.1	1	144592688	144593687
NM_001388371.1	1	144592688	144593687
NM_001388366.1	1	144592688	144593687
NM_001037675.4	1	144592688	144593687
NM_001388376.1	1	144592688	144593687
NM_001388373.1	1	144592688	144593687
NM_001388378.1	1	144592688	144593687
NM_001388368.1	1	144592688	144593687
NM_001201326.1	1	145726666	145727665
NM_002614.4	1	145726666	145727665
NM_001371361.1	1	145726698	145727697
NM_001371359.1	1	145726698	145727697
NM_001201325.2	1	145726698	145727697
NR_136328.1	1	148875040	148876039
NM_020205.4	1	149982676	149983675
NM_001278191.2	1	154150681	154151680
NM_001278189.2	1	154155695	154156694
NM_001043352.2	1	154155695	154156694
NM_153649.4	1	154155695	154156694
NM_001278190.2	1	154155695	154156694
NM_001349679.2	1	154155695	154156694
NM_001043353.2	1	154155695	154156694
NM_001043351.2	1	154155695	154156694
NM_001278188.2	1	154155695	154156694
NM_001364680.2	1	154164577	154165576
NM_001364681.2	1	154164577	154165576
NM_001364679.2	1	154164577	154165576
NR_103461.2	1	154155695	154156694
NM_001364683.1	1	154155695	154156694
NM_001364682.1	1	154164577	154165576
NM_152263.4	1	154164577	154165576
NR_002188.3	1	155197326	155198325
NM_001323616.2	1	156252617	156253616
NM_015327.3	1	156252617	156253616
NM_001323614.2	1	156252617	156253616
NM_001323615.2	1	156252617	156253616
NM_001323617.2	1	156261308	156262307
NM_001375297.1	1	161474247	161475246
NM_021642.5	1	161474247	161475246
NM_001375296.1	1	161474247	161475246
NM_001136219.3	1	161474247	161475246
NM_001204963.2	1	164527421	164528420
NM_001204961.2	1	164527421	164528420
NM_002585.4	1	164527421	164528420
NM_001353131.2	1	164527421	164528420
NM_001353130.1	1	164527959	164528958
NR_036683.1	1	165666987	165667986
NM_025063.4	1	170903675	170904674
NM_001163629.2	1	170903675	170904674
NM_001278252.2	1	171809638	171810637
NM_001350205.2	1	171809638	171810637
NM_001136127.3	1	171809638	171810637
NM_015569.5	1	171809638	171810637
NM_001350204.2	1	171809638	171810637
NM_001350206.2	1	171809638	171810637
NR_146559.2	1	171809638	171810637
NM_005092.4	1	173020082	173021081
NM_022093.2	1	175035969	175036968
NM_021165.4	1	177139094	177140093
NM_170692.4	1	178062239	178063238
NM_001252512.2	1	179261932	179262931
NM_001252511.2	1	179261932	179262931
NM_003101.6	1	179261932	179262931
NR_045530.2	1	179261932	179262931
NM_032360.4	1	180471713	180472712
NM_001137669.2	1	182418281	182419280
NM_001366934.1	1	182418281	182419280
NM_001394147.1	1	183440634	183441633
NM_001394141.1	1	183440634	183441633
NM_001394143.1	1	183440634	183441633
NM_001174061.2	1	183440634	183441633
NM_201568.3	1	183440634	183441633
NM_201569.3	1	183440634	183441633
NM_001375585.1	1	183440634	183441633
NM_173156.3	1	183440634	183441633
NM_001375584.1	1	183440634	183441633
NM_001394144.1	1	183440634	183441633
NM_001394139.1	1	183440634	183441633
NM_001331007.2	1	183440634	183441633
NM_001394135.1	1	183440634	183441633
NM_001394133.1	1	183440634	183441633
NM_001394142.1	1	183440634	183441633
NM_001394137.1	1	183440634	183441633
NM_001350219.2	1	183440634	183441633
NM_001350221.2	1	183440634	183441633
NM_001394136.1	1	183440634	183441633
NM_001350220.2	1	183440634	183441633
NM_001394145.1	1	183440634	183441633
NM_001394146.1	1	183440634	183441633
NM_001394140.1	1	183440634	183441633
NM_001394138.1	1	183440634	183441633
NM_001394134.1	1	183440634	183441633
NM_000963.4	1	186649556	186650555
NR_186758.1	1	191700816	191701815
NM_194314.3	1	197170424	197171423
NR_135153.2	1	197170424	197171423
NM_133494.3	1	198125128	198126127
NR_147896.1	1	199116726	199117725
NM_001167858.2	1	202316827	202317826
NM_001167857.2	1	202316827	202317826
NM_002481.4	1	202316827	202317826
NM_001410283.1	1	202316827	202317826
NM_001331029.2	1	202316827	202317826
NM_001377446.1	1	206515197	206516196
NM_001300952.2	1	206515197	206516196
NM_001377445.1	1	206515197	206516196
NM_001377447.1	1	206515197	206516196
NM_001170637.4	1	206515197	206516196
NM_015326.5	1	206515197	206516196
NM_001377444.1	1	206515197	206516196
NM_001170564.3	1	210500596	210501595
NM_001122834.4	1	210500596	210501595
NM_001170587.3	1	210501246	210502245
NM_001170588.3	1	210501246	210502245
NM_018194.6	1	210501246	210502245
NM_001170580.3	1	210501710	210502709
NM_018664.3	1	212873183	212874182
NM_206933.4	1	216596791	216597790
NM_001243512.1	1	217113016	217114015
NM_001243513.1	1	217113016	217114015
NM_001243509.2	1	217250335	217251334
NM_001243507.2	1	217250335	217251334
NM_001350125.2	1	217251630	217252629
NM_001350123.2	1	217262961	217263960
NM_206594.3	1	217262961	217263960
NM_206595.3	1	217262961	217263960
NM_001243506.2	1	217262961	217263960
NM_001243505.2	1	217263167	217264166
NM_001350122.2	1	217263911	217264910
NM_001134285.3	1	217311045	217312044
NM_001350124.2	1	217311045	217312044
NM_001243510.3	1	217311045	217312044
NM_001243511.3	1	217311045	217312044
NM_004446.3	1	220219848	220220847
NM_001367479.1	1	225116377	225117376
NM_145214.3	1	228594537	228595536
NM_018230.3	1	229644089	229645088
NR_028399.1	1	231663399	231664398
NR_028400.1	1	231663399	231664398
NR_028398.1	1	231663399	231664398
NR_028396.1	1	231663399	231664398
NR_028397.1	1	231663399	231664398
NR_028395.1	1	231663399	231664398
NR_028394.1	1	231663399	231664398
NR_028393.1	1	231663399	231664398
NR_034037.1	1	231747837	231748836
NM_001301365.1	1	236047009	236048008
NM_000081.4	1	236030207	236031206
NM_001291939.1	1	236957581	236958580
NM_001291940.2	1	236957592	236958591
NM_001410942.1	1	236957592	236958591
NM_000254.3	1	236957592	236958591
NR_027247.2	1	238024475	238025474
NM_001374807.1	1	241520259	241521258
NM_001374808.1	1	241520506	241521505
NM_001374810.1	1	241520506	241521505
NM_001374809.1	1	241520506	241521505
NM_001374815.1	1	241520506	241521505
NM_001374816.1	1	241520506	241521505
NM_001374812.1	1	241520506	241521505
NM_001374813.1	1	241520506	241521505
NM_001374814.1	1	241520506	241521505
NM_001374811.1	1	241520506	241521505
NM_001374806.1	1	241520506	241521505
NM_001350116.1	1	241519127	241520126
NM_001350113.2	1	241520506	241521505
NM_001350115.2	1	241520506	241521505
NM_001350114.2	1	241520506	241521505
NM_001364886.1	1	241520506	241521505
NM_002924.6	1	241520531	241521530
NM_001282775.2	1	241520531	241521530
NM_001282778.2	1	241520531	241521530
NM_001282773.2	1	241520531	241521530
NM_018012.4	1	245317287	245318286
NM_001375963.1	1	246518843	246519842
NM_022743.3	1	246580715	246581714
NM_001167740.2	1	246670582	246671581
NM_001375962.1	1	246670582	246671581
NM_032752.3	1	247495170	247496169
NM_001001918.1	1	248511077	248512076
NR_182075.1	1	266064	267063
NR_182076.1	1	266064	267063
NR_182074.1	1	267256	268255
NR_047524.1	1	761971	762970
NR_047523.1	1	761971	762970
NR_047521.1	1	761971	762970
NR_047519.1	1	761971	762970
NR_047525.1	1	762178	763177
NM_001014980.3	1	1182103	1183102
NM_033489.3	1	1590466	1591465
NM_033490.3	1	1590466	1591465
NM_033487.3	1	1590466	1591465
NM_001787.3	1	1590466	1591465
NM_033486.3	1	1590466	1591465
NM_001291345.2	1	1590466	1591465
NM_001353642.2	1	1709910	1710909
NM_023018.5	1	1709910	1710909
NM_001198993.2	1	1710256	1711255
NM_001198994.2	1	1711471	1712470
NM_001353641.2	1	1711471	1712470
NM_003036.4	1	2158758	2159757
NM_001297605.2	1	2486810	2487809
NM_003820.4	1	2486810	2487809
NM_001242672.3	1	2718259	2719258
NM_001410718.1	1	3447976	3448975
NM_001409.4	1	3528073	3529072
NM_152492.3	1	3668014	3669013
NM_004402.4	1	3773040	3774039
NM_001320136.2	1	3773040	3774039
NM_001320132.2	1	3773040	3774039
NM_001282669.2	1	3773040	3774039
NR_135150.2	1	3773040	3774039
NR_135151.2	1	3773040	3774039
NR_135152.2	1	3773040	3774039
NR_104222.2	1	3773040	3774039
NR_186585.1	1	4035150	4036149
NR_186588.1	1	4035150	4036149
NR_186587.1	1	4035150	4036149
NM_001042478.2	1	4713669	4714668
NM_018836.4	1	4713669	4714668
NM_015102.5	1	6052486	6053485
NM_001291593.2	1	6052486	6053485
NM_001291594.2	1	6052486	6053485
NR_111987.2	1	6052486	6053485
NM_001199861.2	1	6051736	6052735
NM_172130.3	1	6085393	6086392
NM_003636.4	1	6085393	6086392
NM_001199860.2	1	6093748	6094747
NM_001199863.2	1	6104948	6105947
NM_001199862.2	1	6104948	6105947
NM_181864.3	1	6445829	6446828
NM_007274.4	1	6453828	6454827
NM_001265592.2	1	6557292	6558291
NM_001042663.3	1	6557473	6558472
NM_198681.4	1	6580153	6581152
NM_001242701.2	1	6844514	6845513
NR_038934.2	1	6844514	6845513
NR_146202.2	1	6844514	6845513
NR_146203.2	1	6844514	6845513
NM_001349623.1	1	7728790	7729789
NM_001349625.2	1	7728790	7729789
NM_001349621.1	1	7728790	7729789
NM_001349620.1	1	7728790	7729789
NM_001349614.1	1	7728790	7729789
NM_001349617.1	1	7728825	7729824
NM_001377276.1	1	7843351	7844350
NM_001377275.1	1	7843351	7844350
NM_016831.4	1	7843351	7844350
NM_001289864.3	1	7843351	7844350
NM_001289863.3	1	7843351	7844350
NM_001289861.2	1	7843351	7844350
NM_001289862.2	1	7843489	7844488
NM_001561.6	1	8000900	8001899
NR_185980.1	1	8085553	8086552
NM_012102.4	1	8877700	8878699
NM_001042681.2	1	8877700	8878699
NM_024980.5	1	9189162	9190161
NM_004285.4	1	9293833	9294832
NM_001282587.2	1	9298906	9299905
NM_001009566.3	1	9884024	9885023
NM_001302883.1	1	9884585	9885584
NM_014944.4	1	9884585	9885584
NM_020248.3	1	9970328	9971327
NM_001012329.2	1	9970328	9971327
NM_006048.5	1	10092016	10093015
NM_001105562.3	1	10092016	10093015
NM_001410744.1	1	10092016	10093015
NM_183416.4	1	10269628	10270627
NM_001365951.3	1	10269628	10270627
NM_015074.3	1	10269764	10270763
NM_001365952.1	1	10270674	10271673
NM_001365953.1	1	10289822	10290821
NM_004565.3	1	10534007	10535006
NM_001079843.3	1	10856704	10857703
NM_017766.5	1	10856704	10857703
NM_001366227.2	1	11026745	11027744
NM_001170754.2	1	11042134	11043133
NM_001001998.3	1	11159927	11160926
NM_002685.4	1	11159927	11160926
NM_001386500.1	1	11322609	11323608
NM_004958.4	1	11322609	11323608
NM_001386501.1	1	11322609	11323608
NM_001040195.2	1	11795193	11796192
NM_001040194.2	1	11795193	11796192
NM_020350.5	1	11795193	11796192
NM_001040196.2	1	11795193	11796192
NM_001040197.2	1	11795193	11796192
NM_001127660.2	1	12039501	12040500
NM_014874.4	1	12039501	12040500
NM_001281430.3	1	12122360	12123359
NM_001243.5	1	12122360	12123359
NM_018156.4	1	12289087	12290086
NM_015378.4	1	12289087	12290086
NM_001013630.2	1	12703104	12704103
NM_001370230.2	1	14924181	14925180
NM_015209.3	1	14924181	14925180
NM_201628.3	1	14924181	14925180
NM_001018000.4	1	15249650	15250649
NM_001370229.2	1	15249650	15250649
NM_001370231.2	1	15255236	15256235
NM_001018001.3	1	15255236	15256235
NM_001017999.3	1	15271277	15272276
NR_027136.1	1	15478961	15479960
NM_001391957.1	1	15572719	15573718
NM_052929.2	1	15572721	15573720
NM_001287811.2	1	15852343	15853342
NM_015291.4	1	15852343	15853342
NR_109898.2	1	15852343	15853342
NM_032341.5	1	15942953	15943952
NM_015001.3	1	16173202	16174201
NM_018994.3	1	16678976	16679975
NM_001405677.2	1	16940060	16941059
NM_001405672.2	1	16940060	16941059
NM_001405694.2	1	16940060	16941059
NM_001405667.2	1	16940060	16941059
NM_001405681.2	1	16940060	16941059
NM_001405676.2	1	16940060	16941059
NM_001405685.2	1	16940060	16941059
NM_001405698.2	1	16940060	16941059
NM_001405697.2	1	16940060	16941059
NM_001405679.2	1	16940060	16941059
NM_001405700.2	1	16940060	16941059
NM_001405699.2	1	16940060	16941059
NM_001405701.2	1	16940060	16941059
NM_001405682.2	1	16940060	16941059
NM_001405674.2	1	16940060	16941059
NM_001405669.2	1	16940060	16941059
NM_001405692.2	1	16940060	16941059
NM_001405680.2	1	16940060	16941059
NM_001405678.2	1	16940060	16941059
NM_001405668.2	1	16940060	16941059
NM_001405687.2	1	16940060	16941059
NM_001405696.2	1	16940060	16941059
NM_001405671.2	1	16940060	16941059
NM_001405686.2	1	16940060	16941059
NM_001405675.2	1	16940060	16941059
NM_001405670.2	1	16940060	16941059
NM_001405695.2	1	16940060	16941059
NM_001405673.2	1	16940060	16941059
NM_001405683.2	1	16940060	16941059
NM_001405684.2	1	16940060	16941059
NM_001405693.2	1	16940060	16941059
NM_001405666.3	1	16940060	16941059
NM_017940.8	1	16940060	16941059
NR_026567.1	1	17046653	17047652
NM_002403.4	1	17307116	17308115
NM_001135248.2	1	17307116	17308115
NM_017459.3	1	17308079	17309078
NM_001135247.2	1	17308079	17309078
NM_007365.3	1	17445947	17446946
NM_013358.3	1	17530623	17531622
NM_018125.4	1	17865193	17866192
NR_137288.2	1	17865193	17866192
NR_137287.2	1	17865193	17866192
NM_001319837.1	1	17906048	17907047
NM_001011722.2	1	17906048	17907047
NM_001328124.1	1	17943808	17944807
NM_001319838.1	1	17943808	17944807
NM_030812.3	1	18080828	18081827
NM_032880.5	1	18433292	18434291
NM_013945.3	1	18956340	18957339
NM_002584.3	1	18956340	18957339
NM_001135254.2	1	18956340	18957339
NM_001136265.2	1	19283171	19284170
NM_020765.3	1	19536761	19537760
NM_001282162.2	1	19810790	19811789
NM_001206541.3	1	19812034	19813033
NM_001206540.3	1	19812034	19813033
NM_004930.5	1	19812034	19813033
NM_001313932.2	1	19812034	19813033
NM_001349114.3	1	20126410	20127409
NM_001349113.3	1	20126410	20127409
NM_181719.7	1	20126410	20127409
NM_001349112.3	1	20126410	20127409
NR_033887.1	1	20755288	20756287
NM_001376788.1	1	21113146	21114145
NM_001376791.1	1	21113146	21114145
NM_001376789.1	1	21113146	21114145
NM_001376792.1	1	21113146	21114145
NM_001376787.1	1	21113146	21114145
NM_001399823.1	1	21113146	21114145
NM_001376790.1	1	21113146	21114145
NM_001376794.1	1	21113160	21114159
NM_001399821.1	1	21113166	21114165
NM_001372052.1	1	21113801	21114800
NM_001399820.1	1	21113801	21114800
NM_001376793.1	1	21113801	21114800
NR_164850.1	1	21113801	21114800
NR_164851.1	1	21113801	21114800
NM_016287.5	1	21113166	21114165
NM_001376796.1	1	21113146	21114145
NM_001376795.1	1	21113801	21114800
NM_001376797.1	1	21113801	21114800
NM_003760.4	1	21437877	21438876
NM_001198802.2	1	21503391	21504390
NM_001198801.2	1	21503391	21504390
NM_001391897.1	1	21503391	21504390
NM_001391906.1	1	21503391	21504390
NM_001391907.1	1	21503391	21504390
NM_001391902.1	1	21503391	21504390
